cellline,tau,relg4,tauR
A549-doxCas9-C8 + NPM3,1.2235946883749458,1.0490303090890145,0.9788757506999566
A549-doxCas9-C8 + MAP1LC3B,1.2321506661061628,1.0326534917237724,0.9857205328849302
A549-doxCas9-C8 + VAMP3,1.248554877221684,1.002570574213087,0.9988439017773472
A549-doxCas9-C8 + SLC3A2,1.2531860327560438,0.9943767655686805,1.002548826204835
A549-doxCas9-C8 + SEC23A,1.260374230075147,0.9819085509882393,1.0082993840601175
A549-doxCas9-C8 + G3BP1,1.2624432387542774,0.9783748907101549,1.009954591003422
A549-doxCas9-C8 + EEA1,1.2654100558754595,0.9733500679495317,1.0123280447003675
A549-doxCas9-C8 + MAP4,1.2678058647040207,0.9693282366511651,1.0142446917632166
A549-doxCas9-C8 + ATG101,1.277086242399676,0.9540454463266188,1.0216689939197408
A549-doxCas9-C8 + TOMM70A,1.2880819772805334,0.9365269483075385,1.0304655818244268
A549-doxCas9-C8 + VPS35,1.2904254391892078,0.932873199762008,1.0323403513513663
A549-doxCas9-C8 + LAMP1,1.2926193524901595,0.9294774762030533,1.0340954819921275
A549-doxCas9-C8 + VIM,1.2969733112529511,0.9228087284438582,1.0375786490023609
A549-doxCas9-C8 + SRRM2,1.3086160277635757,0.9054233266162411,1.0468928222108604
A549-doxCas9-C8 + ATP1B3,1.315953448517913,0.8947901001233302,1.0527627588143305
A549-doxCas9-C8 + VAPA,1.3247085627499513,0.8824167482280143,1.059766850199961
A549-doxCas9-C8 + RAB7A,1.3316192445937183,0.8728838887761664,1.0652953956749747
A549-doxCas9-C8 + MKI67,1.3368122847625565,0.8658522272859233,1.0694498278100453
A549-doxCas9-C8 + HSPA1B3,1.3394946859427705,0.8622635040660622,1.0715957487542165
A549-doxCas9-C8 + TFRC,1.3471974053143185,0.852119020058195,1.0777579242514548
A549-doxCas9-C8 + NCLN,1.3574882922871865,0.8389277158506686,1.0859906338297491
A549-doxCas9-C8 + PSMB7,1.3615044505215699,0.8338885570450942,1.0892035604172559
A549-doxCas9-C8 + EDC4,1.3637058749946813,0.8311517521947455,1.090964699995745
A549-doxCas9-C8 + CLTA,1.3755473490387438,0.8167312542416983,1.100437879230995
A549-doxCas9-C8 + COPE,1.384753910904522,0.8058593095439158,1.1078031287236176
A549-doxCas9-C8 + PLIN2,1.4185345026320992,0.7683372306634167,1.1348276021056793
A549-doxCas9-C8 + FBL,1.4460833413343215,0.7402540086275585,1.1568666730674573
A549-doxCas9-C8 + NPM1,1.5541095234061724,0.6478901705401847,1.243287618724938
A549-doxCas9-C8 + RPL36,1.7395226165960067,0.5356941537322727,1.3916180932768054
A549-doxCas9-C8 + ACTB,1.9492021539147686,0.45128842496205906,1.5593617231318149
